Name                   ,Size ,Founded   ,Services                                  ,Target                                 ,Website                                    ,LinkedIn                                                                            ,Instagram                                                    ,Twitter                                 ,Location
Amplework Software     ,C    ,2016 🇮🇳 ,#ai #mobile #auto #ecomm #cloud           ,#fintech #supply #edu #health #B2C     ,[.com](https://www.amplework.com/)         ,[in: 13k](https://www.linkedin.com/company/amplework-software-pvt-ltd/)             ,                                                             ,                                        ,[Jaipur; Rajasthan](https://maps.app.goo.gl/XHaDNp8CiuNtBvXD6)
ClickIT                ,C    ,2011 🇺🇸 ,#cloud #app #web #ai #devops              ,#fintech #health #edu #business        ,[.com](https://www.clickittech.com)        ,[in: 5k](https://www.linkedin.com/company/clickittech/)                             ,[ig: 600](https://www.instagram.com/clickittech/)            ,[x: 440](https://x.com/ClickIT_Tech)    ,[Saltillo; Coah](https://maps.app.goo.gl/RHVUiwDVEkxZkm6SA)
Ancient                ,C    ,2010 🇺🇸 ,#uxui #cloud #block #data #ai             ,#finance #insurance                    ,[.global](https://www.ancient.global)      ,[in: 4k](https://www.linkedin.com/company/ancient-tech/)                            ,[ig: 4.4k](https://www.instagram.com/ancient_mx/)            ,                                        ,Cuernavaca; Morelos
Inmediatum             ,C    ,2008 🇲🇽 ,#app #auto #data #block #ecomm            ,#B2C #health #retail                   ,[.com](https://inmediatum.com)             ,[in: 320](https://www.linkedin.com/company/inmediatum-technology-services)          ,[ig: 240](https://www.instagram.com/inmediatum)              ,                                        ,[Guadalajara; Jal](https://maps.app.goo.gl/MEWkokM4YVANki5GA)
Derevo                 ,C    ,2007 🇲🇽 ,#data #devops #cloud                      ,#finance #business                     ,[.com.mx](https://derevo.com.mx)           ,[in: 3k ](https://www.linkedin.com/company/derevo/)                                 ,[ig: 660](https://www.instagram.com/derevoanalytics/)        ,[x: 1.3k](https://x.com/Derevo_QV)      ,[Zapopan; Jal](https://maps.app.goo.gl/yrQSWmaJFHF7t68z9)
DYCSI                  ,C    ,2002 🇺🇸 ,#app                                      ,#finance                               ,[.net](https://dycsi.net)                  ,[in: 4k](https://www.linkedin.com/company/dycsi/)                                   ,[ig: 1.8k](https://www.instagram.com/dycsi.inc/)             ,[x: 110](https://x.com/DYCSI_Inc)       ,[Monterrey; NL](https://maps.app.goo.gl/oGUzo8sjZupVpEhF6)
Distillery             ,D    ,2012 🇺🇸 ,#mobile #app #web #ecomm                  ,#finance #business #retail             ,[.com](https://distillery.com)             ,[in: 40k](https://www.linkedin.com/company/distillery-tech/)                        ,[ig: 700](https://www.instagram.com/Distillery_Tech/)        ,[x: 770](https://x.com/DistilleryTech)  ,[Santa Monica; CA](https://maps.app.goo.gl/edhSqcid7PGdxJkJ8)
Moon Technolabs        ,D    ,2009 🇺🇸 ,#iot #web3 #ecomm #ai #cloud #mobile #app ,#finance #business #retail #B2C        ,[.com](https://www.moontechnolabs.com/)    ,[in: 39k](https://www.linkedin.com/company/moontechnolabs/)                         ,[ig: 3.1k](https://www.instagram.com/moontechnolabs/)        ,[x: 2.1k](https://x.com/moontechnolabs) ,[Chicago; IL](https://maps.app.goo.gl/i7jQrrmVP86sxD4c7)
Osiz Technologies      ,D    ,2007 🇮🇳 ,#web3 #block #ai #mobile #cybersec        ,#finance #sme                          ,[.com](https://www.osiztechnologies.com)   ,[in: 12k](https://www.linkedin.com/company/osiz-technologies-private-limited)       ,[ig: 910](https://www.instagram.com/osiztechnologiespvtltd/) ,[x: 1.5k](https://x.com/osiztech)       ,[Madurai; Tamil Nadu](https://maps.app.goo.gl/xnwvgrT7hnLhGSaF7)
A3Logics               ,D    ,2003 🇺🇸 ,#cloud #app #ai #data #web3               ,#business                              ,[.com](https://www.a3logics.com)           ,[in: 33k](https://www.linkedin.com/company/a3logic/)                                ,[in: 210](https://www.instagram.com/a3logics_it_consulting/) ,[x: 3k](https://x.com/a3logics)         ,[Carlsbad; CA](https://maps.app.goo.gl/kpMcVQrtu4jizw2F8)
Towa                   ,D    ,2002 🇲🇽 ,#cloud #app #ecomm                        ,#finance #business                     ,[.com](https://towasoftware.com)           ,[in: 5k](https://www.linkedin.com/company/towasoftware/)                            ,[ig: 90](https://www.instagram.com/towasoftware/)            ,                                        ,[San Pedro; NL](https://maps.app.goo.gl/f8hPTGpdHo5oJS8X6)
UnoSquare              ,E    ,2009 🇺🇸 ,#app #cloud #mobile #data #web            ,#health #business #finance #media      ,[.com](https://www.unosquare.com)          ,[in: 45k](https://www.linkedin.com/company/unosquare/)                              ,[ig: 3.7k](https://www.instagram.com/unosquare/)             ,[x: 1.1k](https://x.com/unosquare)      ,[Guadalajara; Jal](https://maps.app.goo.gl/4ii9e7TKampyZa6r6)
Orion Innovation       ,E    ,1993 🇺🇸 ,#data #cloud #telecom #app                ,#finance #health #business #edu #media ,[.com](https://www.orioninc.com)           ,[in: 206k](https://www.linkedin.com/company/orioninnovation/)                       ,[ig: 5.2k](https://www.instagram.com/orion.innovation/)      ,[x: 2.3k](https://x.com/CurrentlyOrion) ,[Edison; NJ](https://maps.app.goo.gl/y5pH8fs2q3YQK9ud9)
                       ,     ,          ,                                          ,                                       ,[]()                                       ,[in: ]()                                                                            ,[ig: ]()                                                     ,[x: ]()                                 ,
